timestamp,open,high,low,close
1788429600000,77578.1,77743.2,77436.3,77707
1788426000000,77807.6,77942.8,77577,77578.1
1788422400000,77621.6,78032,77627.4,77807.6
1788418800000,77795.4,78144.7,77559.5,77621.6
1788415200000,77777.3,77818,77653.3,77795.4
1788411600000,77748,77797.7,77055.7,77777.3
1788408000000,77665.4,77795,77508.9,77748
1788404400000,77780,77850,77596.4,77665.4
1788400800000,77321.1,77878.6,77200.1,77780
1788397200000,77026.2,77515.8,76927.3,77321.1
1788393600000,77300.1,77365.6,76939.5,77026.2
1788390000000,76996.5,77340,76964.8,77300.1
1788386400000,77252.1,77252.1,76983,76996.5
1788382800000,77364.4,77400.2,77199.7,77252.1
1788379200000,77297.4,77489.9,77171,77364.4
1788375600000,77340.9,77385,77077.7,77297.4
1788372000000,77349.9,77493.8,77251.5,77340.9
1788368400000,77131.5,77370,76914.3,77349.9
1788364800000,77249.9,77547,77131.5,77131.5
1788361200000,77023.9,77354.9,76703,77249.9
1788357600000,77112.6,77465.6,76971.5,77023.9
1788354000000,76573.3,77418.3,76573.2,77112.6
1788350400000,76788.6,77023.6,76573.2,76573.3
1788346800000,76639.2,76810.2,76324.7,76788.6
1788343200000,76716.7,76723.8,76209.2,76639.2
1788339600000,76819.7,77031,76436.5,76716.7
1788336000000,77444.8,77519.3,76706,76819.7
1788332400000,77578.2,77733.3,77435.4,77444.8
1788328800000,77618.6,77689.1,77416,77578.2
1788325200000,77525.9,77732.6,77394.6,77618.6
1788321600000,77534.3,77578.5,77265.6,77525.9
1788318000000,77299.9,77763.2,77280.6,77534.3
1788314400000,76983.1,77319,76913.4,77299.9
1788310800000,77179.6,77343.4,76682.3,76983.1
1788307200000,77400.2,77485,77093.4,77179.6
1788303600000,77240,77600.2,77176.1,77400.2
1788300000000,77180.5,77333.1,76990.8,77240
1788296400000,77415.1,77497.3,76883.6,77180.5
1788292800000,77285.1,77443.9,77200,77415.1
1788289200000,77119.9,77444.2,77072.7,77285.1
1788285600000,77239.9,77295.5,76368,77119.9
1788282000000,77559.4,77695.1,77210,77239.9
1788278400000,77877.4,77942.8,77246.7,77559.4
1788274800000,78125.6,78136.5,77687.8,77877.4
1788271200000,78038.9,78395.8,78011.8,78125.6
1788267600000,77961,78172.6,77397.6,78038.9
1788264000000,78056.4,78123.9,77696.5,77961
1788260400000,77988,78166.7,77844,78056.4
1788256800000,77875.5,78157.1,77716.6,77988
1788253200000,77850,78012.1,77747,77875.5
1788249600000,78600.3,78627.4,77777,77850
1788246000000,78705.9,78774.5,78467.7,78600.3
1788242400000,79149.9,79149.8,78705.8,78705.9
1788238800000,78696,79196,78696,79149.9
1788235200000,78653.9,78900.6,78624.3,78696
1788231600000,78420.8,78847,78353.2,78653.9
1788228000000,78375.6,78427.8,78150.5,78420.8
1788224400000,78617.9,78766.7,78331.9,78375.6
1788220800000,78549.6,78881.9,78519.6,78617.9
1788217200000,78561.6,78564.1,78362.4,78549.6
1788213600000,78929.2,78984.8,78543,78561.6
1788210000000,78834.6,79040,78695.3,78929.2
1788206400000,78869.2,79163.7,78763.2,78834.6
1788202800000,78980.4,79223.8,78822.2,78869.2
1788199200000,78865,79182.4,78740.8,78980.4
1788195600000,78604.8,79023.3,78450.2,78865
1788192000000,78543.1,78868,78468.8,78604.8
1788188400000,78548.2,78745,78175.5,78543.1
1788184800000,77834.8,78650,77711.7,78548.2
1788181200000,77899.9,78256.5,77691.7,77834.8
1788177600000,78284.7,78518.2,77668,77899.9
1788174000000,78680.6,78680.7,78264.7,78284.7
1788170400000,78480.1,78705.3,78287.6,78680.6
1788166800000,78439.1,78773.9,78359.4,78480.1
1788163200000,78168.2,78482.8,77950,78439.1
1788159600000,78049.3,78286.9,78000,78168.2
1788156000000,77984.8,78124.9,77826,78049.3
1788152400000,77586.4,78133.2,77480,77984.8
1788148800000,77727.2,77743.6,77425.7,77586.4
1788145200000,77440,77853.4,77358.3,77727.2
1788141600000,77609.9,77972.7,77350.7,77440
1788138000000,77903.8,77966.1,77524.6,77609.9
1788134400000,77639.5,78153.6,77393.5,77903.8
1788130800000,78390,78423.2,76954.2,77639.5
